interaction_id,user_id,product_id,event_type,device,timestamp,session_id
INT_009046,U0418,15,view,mobile_app,2025-12-22 11:18:42,SESS_38215
INT_002323,U0237,9,view,mobile_app,2025-12-22 11:19:42,SESS_79022
INT_004885,U0117,3,view,desktop_browser,2025-12-22 11:20:45,SESS_97747
INT_008108,U0499,7,view,mobile_app,2025-12-22 11:21:44,SESS_44745
INT_008570,U0064,15,click,desktop_browser,2025-12-22 11:31:04,SESS_24690
INT_004944,U0106,14,click,mobile_app,2025-12-22 11:35:07,SESS_50250
INT_009937,U0083,6,view,mobile_app,2025-12-22 11:36:36,SESS_13387
INT_007295,U0029,4,view,mobile_app,2025-12-22 11:40:06,SESS_21024
INT_002084,U0254,16,click,mobile_app,2025-12-22 11:49:33,SESS_26689
INT_007972,U0184,12,view,mobile_app,2025-12-22 11:51:36,SESS_74630
INT_001344,U0410,15,view,mobile_app,2025-12-22 11:56:43,SESS_58279
INT_002226,U0039,6,view,desktop_browser,2025-12-22 12:00:57,SESS_67725
INT_002774,U0246,10,add_to_cart,desktop_browser,2025-12-22 12:11:06,SESS_46799
INT_009277,U0094,17,click,mobile_app,2025-12-22 12:12:07,SESS_30752
INT_001678,U0390,10,click,desktop_browser,2025-12-22 12:13:02,SESS_93780
INT_007479,U0481,2,view,mobile_app,2025-12-22 12:15:03,SESS_15116
INT_004689,U0377,14,purchase,desktop_browser,2025-12-22 12:25:34,SESS_61557
INT_005342,U0191,4,view,desktop_browser,2025-12-22 12:33:08,SESS_52487
INT_005490,U0014,18,view,mobile_app,2025-12-22 12:41:56,SESS_10321
INT_009513,U0419,13,view,mobile_app,2025-12-22 12:41:58,SESS_17975
INT_000551,U0220,6,view,mobile_app,2025-12-22 12:45:43,SESS_24814
INT_000251,U0395,10,click,desktop_browser,2025-12-22 12:48:55,SESS_14841
INT_009620,U0330,20,view,desktop_browser,2025-12-22 12:54:44,SESS_73801
INT_005239,U0197,19,view,mobile_app,2025-12-22 12:55:52,SESS_84232
INT_001409,U0093,5,view,desktop_browser,2025-12-22 12:58:46,SESS_19039
INT_001492,U0491,9,view,desktop_browser,2025-12-22 13:00:56,SESS_95796
INT_006682,U0300,11,click,desktop_browser,2025-12-22 13:02:35,SESS_52649
INT_009569,U0202,9,click,mobile_app,2025-12-22 13:03:55,SESS_66270
INT_002160,U0278,5,view,desktop_browser,2025-12-22 13:07:35,SESS_72564
INT_003434,U0092,11,click,mobile_app,2025-12-22 13:13:50,SESS_57235
INT_001423,U0139,8,click,mobile_app,2025-12-22 13:31:09,SESS_74640
INT_004371,U0013,4,click,desktop_browser,2025-12-22 13:31:21,SESS_60750
INT_009371,U0367,20,click,mobile_app,2025-12-22 13:31:21,SESS_81299
INT_001868,U0195,8,view,mobile_app,2025-12-22 13:36:47,SESS_60992
INT_005718,U0423,19,add_to_cart,mobile_app,2025-12-22 13:38:29,SESS_82843
INT_006030,U0242,8,view,desktop_browser,2025-12-22 13:41:24,SESS_62319
INT_004444,U0430,6,view,desktop_browser,2025-12-22 13:41:34,SESS_49063
INT_009775,U0177,11,click,mobile_app,2025-12-22 13:45:00,SESS_30644
INT_007122,U0454,8,view,mobile_app,2025-12-22 13:45:22,SESS_92848
INT_003473,U0386,12,add_to_cart,desktop_browser,2025-12-22 13:46:22,SESS_33481
INT_009084,U0224,1,click,desktop_browser,2025-12-22 13:46:46,SESS_76233
INT_004299,U0456,12,view,desktop_browser,2025-12-22 13:50:08,SESS_39704
INT_004822,U0245,7,view,mobile_app,2025-12-22 13:50:58,SESS_23493
INT_004426,U0046,3,view,mobile_app,2025-12-22 13:56:04,SESS_31848
INT_003750,U0081,17,click,mobile_app,2025-12-22 13:56:43,SESS_84904
INT_008267,U0070,5,view,mobile_app,2025-12-22 14:01:24,SESS_82456
INT_003694,U0475,18,view,mobile_app,2025-12-22 14:02:33,SESS_45253
INT_007539,U0307,12,view,desktop_browser,2025-12-22 14:06:21,SESS_31792
INT_009646,U0071,18,view,mobile_app,2025-12-22 14:22:22,SESS_19000
